AssetID,AssetName,AssetNodeId,MeasurementPointID,MeasurementPointName,PhysicalQuantity,Unit of Measure,Prefix,AccesRights,DataType
217,WVI-00000002.GK-TST-03.TestWissel2.MeasurePointsSwitchCentralHeating,GK-TST-03.TestWissel2.MeasurePointsSwitchCentralHeating,171,StatusConnectorBox,NoQuantity,NoUoM,NoPrefix,Read,Int16
217,WVI-00000002.GK-TST-03.TestWissel2.MeasurePointsSwitchCentralHeating,GK-TST-03.TestWissel2.MeasurePointsSwitchCentralHeating,173,TempStatusSwitch,NoQuantity,NoUoM,NoPrefix,Read,Int16
218,WVI-00000002.GK-TST-03.TestWissel2.Alarms.Alarm_10000,GK-TST-03.TestWissel2.Alarms.Alarm_10000,175,ErrorActive,NoQuantity,NoUoM,NoPrefix,Read,Int16
219,WVI-00000002.GK-TST-03.TestWissel2.Alarms.Alarm_12002,GK-TST-03.TestWissel2.Alarms.Alarm_12002,177,ErrorActive,NoQuantity,NoUoM,NoPrefix,Read,Int16
220,WVI-00000002.GK-TST-03.TestWissel2.Alarms.Alarm_20008,GK-TST-03.TestWissel2.Alarms.Alarm_20008,179,ErrorActive,NoQuantity,NoUoM,NoPrefix,Read,Int16
221,WVI-00000002.GK-TST-03.TestWissel2.Alarms.Alarm_22000,GK-TST-03.TestWissel2.Alarms.Alarm_22000,181,ErrorActive,NoQuantity,NoUoM,NoPrefix,Read,Int16
222,WVI-00000002.GK-TST-03.TestWissel2.Alarms.Alarm_30000,GK-TST-03.TestWissel2.Alarms.Alarm_30000,183,ErrorActive,NoQuantity,NoUoM,NoPrefix,Read,Int16
10000,WVI-00000002.GK-TST-02.Alarms.Alarm_10000,GK-TST-02.Alarms.Alarm_10000,10000,ErrorActive,NoQuantity,NoUoM,NoPrefix,Read,Int16
10001,WVI-00000002.GK-TST-02.Alarms.Alarm_10001,GK-TST-02.Alarms.Alarm_10001,10001,ErrorActive,NoQuantity,NoUoM,NoPrefix,Read,Int16
10002,WVI-00000002.GK-TST-02.Alarms.Alarm_10002,GK-TST-02.Alarms.Alarm_10002,10002,ErrorActive,NoQuantity,NoUoM,NoPrefix,Read,Int16
10003,WVI-00000002.GK-TST-02.Alarms.Alarm_10003,GK-TST-02.Alarms.Alarm_10003,10003,ErrorActive,NoQuantity,NoUoM,NoPrefix,Read,Int16
10004,WVI-00000002.GK-TST-02.Alarms.Alarm_10004,GK-TST-02.Alarms.Alarm_10004,10004,ErrorActive,NoQuantity,NoUoM,NoPrefix,Read,Int16
10005,WVI-00000002.GK-TST-02.Alarms.Alarm_10005,GK-TST-02.Alarms.Alarm_10005,10005,ErrorActive,NoQuantity,NoUoM,NoPrefix,Read,Int16
10006,WVI-00000002.GK-TST-02.Alarms.Alarm_10006,GK-TST-02.Alarms.Alarm_10006,10006,ErrorActive,NoQuantity,NoUoM,NoPrefix,Read,Int16
10007,WVI-00000002.GK-TST-02.Alarms.Alarm_10007,GK-TST-02.Alarms.Alarm_10007,10007,ErrorActive,NoQuantity,NoUoM,NoPrefix,Read,Int16
10008,WVI-00000002.GK-TST-02.Alarms.Alarm_10008,GK-TST-02.Alarms.Alarm_10008,10008,ErrorActive,NoQuantity,NoUoM,NoPrefix,Read,Int16
11000,WVI-00000002.GK-TST-02.Alarms.Alarm_11000,GK-TST-02.Alarms.Alarm_11000,11000,ErrorActive,NoQuantity,NoUoM,NoPrefix,Read,Int16
